comment,debt
relationship dataflow counter metric updat comment refer counter code refer metric updat proto comment instead mention translat accumul metric updat class renam accord also name method confus two argument pass setbooleanaccumul metricupdateproto read signatur suggest accumul somehow boolean set metricupdateproto opposit intend instead renam method translat translatebooleanaccumul metricupdateproto would make clear translat accumul metricupdateproto renam setscalar setmean file well,code/design_debt
thank contribut zentol ive gone code made inlin comment main concernquest actual represent metric type hierarchi inform think encod string repars receiv side reconstruct inform rather fragil errorpron especi wrt maintain mayb give background decid apart think code contain mani test realli like,code/design_debt
nit use local variabl possibl,code/design_debt
tinkerpop3957 improv speed addv,code/design_debt
support yet type timestampwithlocaltimezon rare use think support version,requirement_debt
regard question provid common stream use case noneventbas process metric use observ propos get metric api hide listen multithread stream context finit metric elabor pleas mean async get provid pseudocod use metric async threadsaf scenario action observ dataset call differ thread metric retriev say multithread driver process general use case batch process even propos observ api aim hide multithread complex user use datasetobserv singlethread scenario user experi multithread problem use exist listen approach target user extens agre,requirement_debt
agre may gotten impress bundl also use hadoop bundl lib reason bundl favor intent thought depend converg downstream activ actual prefer ship binari tarbal packag sinc might well way work well user case agre improv get basic smilecat,code/design_debt
made chang improv log,code/design_debt
btw need new test case correct set activ session,test_debt
think way pros con person think use singl endpoint easier user main purpos onlin endpoint provid conveni way run task endpoint simpl possibl use singl endpoint userfriend use separ crud endpoint allow flexibl ask user first regist data use servic second onlin servic allow much larg size data sens send data request everi time bottleneck think could provid way phase featur phase probabl could support anoth two endpoint support suggest regard cleanup think current phase onecal request mention stateless user separ endpoint retriev anomali afterward henc could clean phase anoth two endpoint provid endpoint need cleanup thank suggest,code/design_debt
mayb also need add null check process,code/design_debt
arrow7473 cgandiva improv error messag locat function,code/design_debt
think document test extract exampl code chang actual show chang affect opinion getset path need remov anoth topic troubl getset mop general bad document might might chang break one well break chang term semant real world exampl bad affect idea anoth exampl public foo assert afoo assert afoo assert afoo null assert last three assert fail,test_debt
yes think earlier code format formatt caus reformat chang,code/design_debt
let drop comment two reason first part comment describ thing code english ad addit context second part dataflow runner specif exampl even run dataflow runner yet,documentation_debt
zjffdu confirm flaki test,test_debt
use log messag format,code/design_debt
ad ratexclud readm rat remov unneed file lack copyrightsalso hivetest009 fix,code/design_debt
doesnt look like columnrefer use memori leak,code/design_debt
littl confus need config isnt metadata written state store would user ever need set rest code care sinc realli familiar look like insan amount code add one singl field state object,code/design_debt
yes let worri later,code/design_debt
also add test cleanup,code/design_debt
overal coverag use address 3106,test_debt
final made code look good part minor comment also wile maintainsupport code umber custom know would interest use would hook support anyway,code/design_debt
thank contribut amakaur could add unit test,test_debt
specif way yarn run thing dont think would use anywher els point becom use code move think test ad better unit test function sinc way code actual run yarn bash,code/design_debt
doc updat superset site,code/design_debt
new overload createstream top exist seem like big overkil one version javascala take argument one take minim argument other need retain binari compat rest seem superflu,code/design_debt
take step back reconsid whether updat current api httpop right thing mayb ought introduc differ style fluid reconsid design caller respons set httpclient httpop provid oper noth special auth op use redefin httpclient reduc method bloat someth like quick sketch implicit builder object geturl posturl puturl deleteurl,code/design_debt
nonneg int keygroupid consist,code/design_debt
seem possibl collaps least class hierarchi told there futur plan make subclass printerifac class seem like lot class hierarchi small amount code realli dont think make provis someth might done later becom issu later easi refactor dont prematur abstract,code/design_debt
call resfun twice,documentation_debt
instead use separ class instanceof check call mayb expens mayb could wrappedbatchingstaterestorecallback take nonbatch staterestorecallback constructor restoreal alway forloop place need seem two caller sth like,code/design_debt
hmm youll also need chang taskendreasonfromjson otherwis histori server wont see new inform also ad new properti serial class general use optionfoo see call utilsjsonopt class,code/design_debt
chang valu without better knowledg,code/design_debt
nit comment code bother storybook though wont strong object,code/design_debt
probabl realli dont want convert respons string caus client download entir respons memori convert java string complet negat diskbas buffer seem implement,code/design_debt
look like doc outdat correct batchsiz control element use batch insert sql insert valuesx1 batch speed load data great sql databas may support control batch size give lever various sql vendor,documentation_debt
nit indent two space,code/design_debt
nit clone,code/design_debt
consid convert follow condit method would assign name condit possibl would make bit easier test,code/design_debt
fix mima need add line mimaproject definit temporarili exclud new project httpsgithubcomdbtsaisparkblobb9870d6c62d75cd59698bd72751bc4f7854cd2e3projectsparkbuildscalal254 also add todo followup task post20releas remov exclud publish previous artifact mima compar,requirement_debt
updat alphanumer sort doc test exampl,test_debt
pretti sure long durat isnt realli necessari dont think hurt make longer case,code/design_debt
second paramet better complet sentenc,code/design_debt
impala refer find httpswwwclouderacomdocumentationenterprise510xtopicsimpalashowhtml consist show function make like option,code/design_debt
mridulm yes awar sparkcontext use reflect instanti two differ class yarn packag connect manual remov one see there still reflect code load yarnclusterschedul seem unnecessari,code/design_debt
rare case might want chang execut bit master make unnecessari howev much surgeri critic part bugfix releas decid conserv runtim code rather pay price test,code/design_debt
well definit sketchi call aggreg get concurr hyperloglogcollector isnt thread safe possibl youll get bizarr valu time time like offset hllc process increment one thread read anoth thread think valu,requirement_debt
think alreadi defin 6317,code/design_debt
yea right use lot test code somewhat annoy updat,code/design_debt
tri dont see better way organ code need slight differ logic primit type,code/design_debt
look littl strang retrospect document say to reduc amount time admin spend author manag polici inherit parent resourc child resourc think practic case cannot access process group access resourc within happen,documentation_debt
checkstyl fix typo,documentation_debt
havent actual ad test that least doesnt match intent describ close back describ test want jira,test_debt
say suffici workaround case work person howev think behavior tsstringpercentencod shouldnt chang workaround log issu api keep current behavior fine land chang,code/design_debt
instead string formatt use string builder dont count number format argument often take coupl iter get right string builder good especi cli option thought,code/design_debt
think take consid drop logic sinc add complex might huge perform issu practic let know disagre,code/design_debt
necessari see discuss httpsissuesapacheorgjirabrowsespark11337 includ import singl block move unus import separ group need keep import order group use empti line separ import group,code/design_debt
scalar linear algebra relat vector refer sqlalachemi panda variabl name isarray straightforward chang variabl name,code/design_debt
updat improv readabl httpsgithubcomapachehivepull1780commits37e707705c6cc7c025bbe7fb1b67682062dc84c7 time address hive24646,code/design_debt
name keep simpl might touch time sinc occur place doesnt save much,code/design_debt
unmodifi map altern jdk good reason need guava would suggest solv without import even case would use import fulli qualifi classnam,code/design_debt
note biggest concern messag ref need light human possibl they re memori affect great scale would person prefer refactor need take hit especi need someon want use plugin mean everyon els suffer,code/design_debt
lgtm merg trunk 0101 thank edoardocomar mimaison hard work patienc patch minor cleanupsimprov client test submit followup,code/design_debt
space simpler foral,code/design_debt
venureddy2103 check place place still keep previous place use one event fireev place preevent postev differ code block place larg code block preevent postev,code/design_debt
requir updat file releas ideal could get list version versionsjson though maven instal might take complet anoth option would build latest version make sure add version tag build version sinc older doc chang,code/design_debt
indent,code/design_debt
implement class use class instead type explicit,code/design_debt
see ad test still havent address question synchron class need,code/design_debt
even though bind base threadlocalt instanc think implement threadsaf exampl multipl task execut serial thread modifi bind dictionari besid threadsaf doesnt support defin bind thread ad step anoth sampl,requirement_debt
rewrit tupl construct consum work flow improv read write perform pluggabl storag framework specif use virtual tupl tupl tabl slot instead heap tupl storag executor avoid tupl data copi queri process huor jiny2,code/design_debt
thank replac propos also left mention metadata segment file row group partit sinc wasnt describ doc yet,documentation_debt
could add deprec give proper warn,code/design_debt
use rulesreltrait jdbcconvent relbuilderfactori relbuilderfactori null valu ad statement overload method allow slight avoid duplic code,code/design_debt
mess mar 2018 512 carlo santana notificationsgithubcom wrote,code/design_debt
pretti hacki make assumpt thing format event log previous assert enough ignor previous comment chang test,code/design_debt
fault open jira issu start thought quick chang wordcount part like move top level class document spark runner need copi dhalperi readfrom doesnt work hdfs tfidf part think close run spark runner beamexampl modul 533 spark depend problem test javasparkcontext class found httpsbuildsapacheorgjobbeamprecommitmavenverify1908consol could help take look make call whether want includ tfidf left handl 533,documentation_debt
minor orgapachenifiminifi need place orgapachenifiminifiutilsstringutilstobool could shorten utilsstringutilstobool,code/design_debt
look good would expect chang document add support new featur,documentation_debt
okay think issu pretti tough unfortun hive direct use shade objenesi class howev spark need kryo 221 depend origin objenesi class hive code use httpsgithubcomapachehiveblobbranch013qlsrcjavaorgapachehadoophiveqlexecutilitiesjaval186 cant remov kryo hive use pretti ugli one solut might updat chill spark spark use kryo version hive,code/design_debt
wonder would make sens insert layer abstractfeatur actual featur like subclass would look someth like lot duplic code subclass goe away thought,code/design_debt
sinc new interfac method add javadoc pleas,documentation_debt
realli detect one besid mock need fix doc time,documentation_debt
think better use orgwso2carbonutilscarbonutilsgetcarbonhom,code/design_debt
tend agre terminolog use littl confus doesnt seem match general terminolog use term loos howev deal lsh tend come across version sethah mention karlhigley packag other httpsgithubcommarufaytekinlshspark implement input vector hash tabl hash signatur length dimens hash signatur creat concaten result appli hash function agre what effect implement outputdim find bit troubl done implicit part hashdist function without know happen clear new user come common lsh implement outputdim number hash function length hash signatur actual number hash tabl term transform disagre somewhat main use case dimension reduct perhap common exampl use hash signatur lowerdim represent featur model similar way say pca transform havent seen view real use case approxim nearest neighbour search ill give concret exampl transform output let say want export recommend model factor vector al word2vec vector etc realtim score system mani item like use lsh make score feasibl effect realtim version oramplif store hash tabl tabl hash signatur vector similar item given item retriev hash sig queri item use filter candid item set score fact someth work demo project current support orand combo import output full set hash sig transform recommend futur proof api return arrayvector transform mention other need updat doc user guid make realli clear implement think need make clear impli valu mention amplif implement later perhap even link jira renam outputdim someth like numhasht add andamp add paramet hashsignaturelength numhashfunct make much privat possibl avoid stuck implement detail futur releas also dont see randunitvector randcoeffici need public one issu current would output set hash valu actual set signatur length guess leav document output actual believ support orand futur mani thing need chang hashfunct hashdist etc need refactor implement privateprotect think let ensur left api cant chang futur set must yield result current impl avoid behavior chang guess sinc current default make default ad also final understand result perform test would post dont believ weve seen yet,code/design_debt
perhap renam variabl someth like defaultstoretyp would clarifi reason declar oppos use enum valu necessari,code/design_debt
yes ill updat there actual problem unit test ive written travi fail sporad,test_debt
ignite11654 memori leak knnclassificationmodel,code/design_debt
function favor ssd need comment,documentation_debt
think sparksessionclos behavior purpos that coher behavior dont shut anyth your done everyth shut what consist maintain state session cant clear think way forward probabl new lifecycl method like clear user burden least provid mean cleanup without chang close figur automat dispos resourc hold chang behavior session close shut context behavior chang yes perhap less surpris anyth peopl like cloudfan gatorsmil hyukjinkwon dongjoonhyun thought feel like refer count go end tear eventu crazi,code/design_debt
shangxin agre extend schema metadata good idea said serializationdeseri also requir need chang format first schema object parquetmr exist parquetmr runtim serial need convert object structur thrift object structur defin format dont new metatdata field format cannot serializedeseri much bigger topic also like see featur separ encrypt would general approach store metadata schema meanwhil convinc need extens namespac prefix etc dont agre user friend that ive suggest implement helper api user doesnt need deal conf key valu direct ggershinski dont agre cannot meet topic term transpar document discuss conclus meanwhil sure meet would help happi particip anyon think otherwis also think get stuck issu would suggest involv member communiti mayb draw attent dev list bring topic next parquet sync,code/design_debt
design doc write could fail target replic nonadmin credenti typic replic skip bump docwritefailur counter howev reli post request return 200 respons authent scheme implement whole request fail doc dont enough permiss written replic job end crash ugli except get stuck retri forev order accomod scanario write design doc separ request like write attach fix 2415,code/design_debt
pointm may worth wrap getxorthrow call actual return legibl error messag sinc generat code print input id,code/design_debt
nit leftanti,code/design_debt
would accept reformat code demand appear finish improv peopl might never need look hunspel code,code/design_debt
add comment commit otherwis peopl would confus,documentation_debt
super clear youd want use config element read bit code understand add proper exampl type annot,documentation_debt
fix typo,documentation_debt
nit line long enough time split,code/design_debt
think method realli necessari alreadi logic access composit type see visitfieldaccess mayb make method bit generic,code/design_debt
minor nitmark return type nullabl,code/design_debt
look good thank fix typo,documentation_debt
warn seem bit frequent instead checkgesortedorders threadssiz,code/design_debt
need tri ensur chanc send abort go poll think seem littl simpler move hasabortableerror check maybesendandpolltransactionalrequest longer need chang,code/design_debt
mmm infra complain use jenkin build updat center also note extrem slow,code/design_debt
geertjanw xsdsdtds use generat code interpret repli apach legal licens transcend generat code weblog would distribut unlicens code right distribut jbosswildfli would distribut lgpl code asf rule get xsdsdtds runtim would perfect doabl modul would need rework reli code generat buildtim vikasprabhakar dtd file present httpswwwjbossorgj2eedtd file miss explicit licens would assum cover project lgpl licens least reflect xsds saw ask redhat would probabl reveal still leav wrong licens,documentation_debt
wusheng thx check structur time version look good modifi doc add unit test later,documentation_debt
pypi use categori better descript version number sync,code/design_debt
unus default constructor,code/design_debt
remov lodashthrottl depend sinc lodash add babelpluginlodash help optim bundl output take necessari part lodash instead entir bundl httpsgithubcomlodashbabelpluginlodash replac underscor call lodash applic williast xtinec conglei,code/design_debt
doc need someth like pipelin consist sequenc stage either estim transform fit transform call stage execut order stage may modifi dataset pass next stage mayb say someth happen stage,documentation_debt
mean remov addpkcolumn variabl chang statement someth like follow,code/design_debt
nit stick top line gab orgapach stuff least tri make import order wors,code/design_debt
possibl revers sqltypefamilybinaryequalsfamili prefer style also elimin need null check,code/design_debt
fix 5589 seem memori leak pulsarfunctiongo librari implement simpl pulsar function worker write log use pulsarfunctiongologutil send log log topic tri longterm test send request messag consecut input topic check feasibl test face producerqueueisful error logtop option observ indefinit grown memori usag pulsar function worker process clear strentri variabl finish addlogtopichandl function regardless log messag append logger clear caus memori leak strentri grown indefinit moreov function set logtop topic could get accumul huge messag caus producerqueueisful error verifi reproduc step describ issu 5589,code/design_debt
yeah see doc though set way cdh least mayb instal never need configur file certain way dunno seem bad silent ignor unread file least log mayb warn sound like there one file could reason expect unread special case warn anyth els fail anyth els rather tighten way silent,code/design_debt
ad test case negat number boundari condit,test_debt
remov configuiactionsen least deprec,code/design_debt
sure introduc addit constraint like total size scan byte suggest improv featur later correct elimin howev client wait page oper complet fail return applic addit improv reduc race condit think enforc client side timestamp make race almost imposs expect featur improv overal perform avail sinc page limit memori usag time hold server resourc experi page real cluster posit seen negat impact yet long page size small less 1000,code/design_debt
default valu number delta commit requir inlin compact hoodiecompactinlinemaxdeltacommit current default everi delta commit merg read tabl inlin compact well automat think default valu littl overkil also make merg read work like copi write compact everi run props increaset valu old default pull request trivial rework code cleanup without test coverag,code/design_debt
note person discuss found hard grasp code use unit return function resolv promis point read like block code result make sens point ild prefer use futur composit possibl becom appar fact return futur resolv soon ackmessag,code/design_debt
data parser wrote would duplic code alreadi implement inhous url class wrote go make chang request dont want delay featur either parser remov eventu elimin duplic code also environ variabl general enough data sourc think env parser ad urlstreamhandl place use via inhous url class token plugin special case renam raw could use place,code/design_debt
may doabl documentedclear think ad timezon got work display side rather got use custom control decor field get convert,documentation_debt
fell crack let reviv seem like long term solut use wtform rip mvc fab scaffold time get null problem uniqu constraint appli proper affect user direct guess may affect filter function crud list view,code/design_debt
way test still doesnt catch bug your fix httpsissuesapacheorgjirabrowseflink8286 think need proper endtoend test realli test flinkkerbero integr actual yarn cluster start look onto use docker compos bring hadoop cluster docker kerbero run flink endtoend test,test_debt
typo unless dont leav hang,documentation_debt
person think place worth discuss except handl connect disconnect log think log remov,code/design_debt
problem case process singl element case mean emit quit mani element downstream cost structuralvalu pretti much amort would say could someth calcul per element dont think use refer either unboundedsourc serializ runner free clone directrunn afaik best solut would seem mark initi split via splitrestrict restrict uniqu transfer residu restrict alway one activ either current process nonnul residu restrict could use identifi reader without referenc sourc might problemat implement hashcod andor equal unboundedsourc common practic afraid,code/design_debt
section titl interoper languag class type correct namespac packag remov duplic tabl caption davebarnes97 joeymcallist dgkimura mmartel echobravopapa pivotalsarg pleas review most namespac chang doc,code/design_debt
ambud code look good except vesens comment two thing address would better document new configur without document endus idea ad featur externalstormhbasereadmemd docsstormhbasemd code alreadi use jdk api mapgetordefault cant get could provid new branch would also great test caffein jre7 expect work document precondit jre version jre8 expect work benman expect right thank advanc,documentation_debt
cleanup variabl name think would help lot test confus know copi past would nice clean also test assert one file file one file archiv one file file archiv,code/design_debt
need explan use user use,documentation_debt
minor guess first error condit happen way often second get messag say invalid lot less clear say doesnt exist break includ specif error messag either case also might nice print valu filesystem error messag know filesystem infer path,code/design_debt
method doesnt alway creat new deployrequest name appropri say addormodifydeployrequest getdeployrequestforcontainerid way would error case find exist deployrequest given containerid exampl call streamingcontainermanagerschedulecontainerrestart wouldnt error find exist request true add code detect error caller pass paramet indic new request expect creat,code/design_debt
fix flaki test porttelnethandlertest,test_debt
shouldnt remov intend general purpos class log handl compress buffer logic notic replac printwrit elsewher even new name scheme still use class event log simplifi eventlogginglisten bunch,code/design_debt
rdhabalia mayb name nondurablecursor doesnt fulli convey intend semant new class context way read topic support topicread reus much code possibl regular cursor implement basic cach code logic switch next valid posit plus asyncreadorwait stuff non imped messag delet consid case nondur topic disconnect cursor away data get potenti delet anyway prefer explicit ingrain api thing name cursor away case restart dont see advantag name data get delet cursor skip intend usag nondur cursor topic reader conjunct messag retent make sure data stick around intend amount time,code/design_debt
well point check simplifi dont think recordhead null true guarante header object sure simplifi second check iter header map string comparison find header key seem rather heavi,code/design_debt
would suggest chang name prettyjsonis jsonpretti also string valu test method name use unifi name convent benefit new develop code search,code/design_debt
fix xyz master issu xyz add api check worker readi serv request describ modif youv done chang trivial rework code cleanup without test coverag chang alreadi cover exist test pleas describ test chang ad test verifi follow featur applic document explain featur document yet pleas creat followup issu ad document,documentation_debt
zeppelin3138 checkstyl zeppelininterpret,code/design_debt
think creat callback open method pass instanc async call way save lot instanc creation,code/design_debt
work ask lot column row need could tri chang return insid function return tisal return tis line could becom httpsdocssqlalchemyorgen13ormloadingcolumnshtmlloadonlyandwildcardopt think worth worth,code/design_debt
yes max input sysmaxint get increas bucket size safe purpos mayb unnecessari dont think one bucket per counter cost mani memori,code/design_debt
definit fix apiv1applicationsappidlog acl look like protect apirootresourcejava app need someth like withsparkui get acl includ applic like mention list apiv1appl apiv1applicationsappid info believ list intent left open dont realli see reason chang peopl use case perhap make page protect acl configur histori server would expect sparkaclsenablefals sparkhistoryuiaclsenabletru see could confus perhap document better sparkaclsen histori realli protect root app level ui could explicit turn,code/design_debt
caught scala linter follow java style comment see code document style httpsparkapacheorgcontributinghtml,code/design_debt
store never null thus dont need chang also check isempti give much still call addal even store empti,code/design_debt
nifi5790 remov last test caus race condit intermitt,test_debt
1682 enhanc test coverag part4 dubbocommonsrcmainjavacomalibabadubbocommonstatusstorethreadpoolutil modul dubbocommonsrctestjavacomalibabadubbocommonutilsurlutilstestjava xxxxx,test_debt
share deriv yesterdayd executiond macro doc,documentation_debt
hzxa21 thank code review consist happen window platform seen peopl complain similar issu linux flavor consensus issu popular linux flavor classic window problem handl open file ntfs allow renam move delet file handl open file requir close renam much issu linux way linux file system implement way file implement linux allow renam move delet file even open handl way think patch renam file directori alway close file channel applic linux well fundament scenario delet directori sinc topic delet delet segment file cleaner thread believ close log file case log delet close segment case segment file cleanup sinc one read file safe close swap flow clean file renam swap file renam actual log file also believ segment close renam reopen swap overal gist file close renam open back requir applic linux well yes initi implement chang renam file method chang turn ugli abandon pull request done way httpsgithubcommicrosoftkafkapull17fil problem need reopen delet file put check reopen delet file also result chang mani place also felt like cleaner fix solv root problem close segment renam delet also want generic fix rather specif window yes add test case want get initi feedback idea ad test,code/design_debt
add test around earli publish load sequenc data disk,test_debt
enter requir otherwis document render correct,documentation_debt
write new buffer connect closedwrit call connectionwak closedread closedwrit fix crash still work left leak messag buffer server connect close client connect,code/design_debt
gave tri httpsgithubcomrzo1tomeetreetomee2324v2 quit unsur talk consequ drop fixmetodo question reason didnt open relat new yet mayb look,requirement_debt
format code consist old function,code/design_debt
make sens remov assert complet unrel fix also ad comment test,code/design_debt
feel increas timeout wont cut doesnt sound like real solut unfortun dont understand much schedular job proper say think perform issu need figur deal,code/design_debt
minor suggest chang commit titl replac threadsleep testhelperverifi fix flaki unit test,test_debt
may add class conveni may need design inlin origin class,code/design_debt
seem test decim precis map may issu mention code slip unit test catch,test_debt
afaict never use remov,code/design_debt
rethrow runtimeexcept,code/design_debt
comment code longer need,code/design_debt
deprec method use,code/design_debt
remov detail sinc say librari deprec longer want use,code/design_debt
exist withcolumn ad metadata simpli use exist public withcolumn api exist test case cover,code/design_debt
think back there question keep limit joshrosen yes that end clear sever way sever place happen easiest ignor except,code/design_debt
hbase24791 improv hfileoutputformat2 avoid alway call gettablerelativepath method,code/design_debt
jira httpsissuesapacheorgjirabrowsespark18035 hiveinspector saw convert java map spark arraybasedmapdata spent quit sometim buffer copi httpsgithubcomapachesparkblobmastersqlhivesrcmainscalaorgapachesparksqlhivehiveinspectorsscalal658 reason maptoseq alloc new buffer copi map entri httpsgithubcomscalascalablob211xsrclibraryscalacollectionmaplikescalal323 copi need get rid extract key valu array call trace also earlier code popul key valu array separ iter twice avoid doubl iter map one iter edit code review sever place code found similar thing dedup instanc introduc conveni api perform memori effici number subject depend mani map column access queri averag entri per map one queri tri saw cpu save endtoend queri chang end result produc reli exist test,code/design_debt
hdfs15731 reduc threadcount unit test reduc memori usag,code/design_debt
thought bit tricki sinc could dynam base class tostr function trigger first let think see come clean solut,code/design_debt
seem itd worth factor context includ expans servic jar test,code/design_debt
still get rid setuprequir might complet solut,code/design_debt
redund,code/design_debt
nit redund convers,code/design_debt
per code standard pleas wrap block cur brace,code/design_debt
seem littl complic realli necessari your couldnt achiev thing leav origin code chang one line origin exact also allow whitespac around schedul mode mayb good thing,code/design_debt
null code use index list null code get index tabl implement upcom,requirement_debt
nit add blank line back,code/design_debt
taskset index realli need avoid reli order taskset verifi result,code/design_debt
also mayb complet unnecessari automat attach sourc timestamp dont window oper one thing came mind order keep determinist result failur persist data timestamp attach sourc plan guess question goe hand hand automat sourc level backup even without kafka want bring,code/design_debt
need space,code/design_debt
null sortscop remov check insid carbonutilisvalidsortopt,code/design_debt
current set integr test doesnt test new function ad mere check see noth els broken freez skim mail didnt see anyth master frozen see blocker defect 41000 latest understand anybodi merg requir code lgtms bvt run smoke test broken environ issu talk new releas 490 broken testsfeatur,test_debt
think explicit want prewarm pool surviv action would benefit use space perform optim guarante wouldnt also plumb control send request path might get execut think warrant devlist discuss,code/design_debt
npuint64 npint32 consist scala implement,code/design_debt
mayb add final instead,code/design_debt
work issu found empti class propos remov use caus confus local test,code/design_debt
scala code almost java need creat separ tab scala also case javascala share code demo filesystem connector,code/design_debt
one oper fluent seem inconsist context manipul isnt shouldnt common oper see also quit recent contextmergecopi,code/design_debt
yea default valu hardcod also agre show precis messag use config better,code/design_debt
realli good work rpogalz minor comment concern style test case like approach split implement flink687 multipl part make far easier review concern descript flink2106 havent integr outer sort merg join optim api yet guess happen next step mayb updat descript flink2106 accord look good,code/design_debt
method primit,code/design_debt
twoinputstreamoper oneinputstreamoper intern class mention use generic oper one input term,code/design_debt
