text,label,document_index
fix variabl close,code/design_debt,0
tidi polici valid bit,code/design_debt,2
improv error log replic write failur error write document log revis error error reason also ad test cover case function,code/design_debt,4
remov old,documentation_debt,5
set javadoc generat get rid inform messag reduc log size,code/design_debt,6
remov legaci method,code/design_debt,7
remov test,code/design_debt,8
fix typo,documentation_debt,9
fix typo error messag,documentation_debt,11
dont download alreadi,code/design_debt,12
ad miss licens,documentation_debt,14
improv perform get prefix config chang improv perform cach config prefix also remov method get config get config prefix use,code/design_debt,17
effici header commit,code/design_debt,19
http client code resolv issu test take long resolv issu http client code larg chang made increas memori usag allow larg close,code/design_debt,20
argument pars ad support client tool introduc argument pars tri backward compat earlier version introduc option argument pars larg updat howev support argument avoid break patch featur good ad new posit argument support thread close,code/design_debt,21
bug direct network usag support ad work progress,requirement_debt,23
string function concat close squash follow commit reynold xin remov concat test reynold xin concat reynold xin remov extra import reynold xin fix npe reynold xin ad miss file reynold xin string function concat,code/design_debt,24
hotfix resolv compil warn,code/design_debt,25
add miss test,test_debt,26
add better view param profil add better view param profil add document profil comparison view limit paramet tabl remov use method method doc chang minor style chang param key exist profil need check first add changelog entri add test profil chang,code/design_debt,27
merg branch commit revert updat remov conflict,code/design_debt,28
better debug messag chang suggest,code/design_debt,29
elimin warn configur time doesnt support option dont look dont move safe error,code/design_debt,31
return respons good error user use api cluster,code/design_debt,33
remov duplic configur direct patch,code/design_debt,34
make output less,code/design_debt,35
ad fix,code/design_debt,36
minor remov ignor test hang ad new version test,test_debt,38
remov old,code/design_debt,39
fix test syntax cleanup,code/design_debt,41
convert activ without close store sever collect task refer task handl close recycl old task creat new one except close close remain task task task close recycl state success recycl context state manag new type close recycl task normal clean close instead close state manag inform recycl maintain store inform import current store offset changelog changelog new task changelog initi skip store still read checkpoint file use offset store offset alreadi initi ensur dont end disabl call state listen activ store switch,code/design_debt,42
make close updat develop guid deprec compon,code/design_debt,43
add metric add metric fix right time test split report remov offset report sinc alway null review stuff,test_debt,44
test class,code/design_debt,45
remov except wrap aqe chang propos pull request remov except wrap aqe error messag less consist execut except stage wrap multipl stage failur also stage cancel error includ part except rather error log chang need make aqe error report readabl introduc userfac chang patch test updat exist test close,code/design_debt,46
temporari test code,test_debt,47
specifi valu paramet add log except messag fix,code/design_debt,48
optim algorithm function call found file type function notic like case current algorithm could entir match list time find locat match remov match start locat find length remain addit use various scala function caus new list alloc caus perform modifi algorithm match list keep first match addit function code replac iter code perform replac guarante append random access match sequenc also add return case one match like case,code/design_debt,49
remov properti matrix class,code/design_debt,50
resolv comment workaround,code/design_debt,51
updat doc extens updat doc extens doc updat cleanup,documentation_debt,52
cleanup version,code/design_debt,53
hardcod append limit review,code/design_debt,54
remov depend remov depend contribut checkstyl fix revert import add javadoc switch back fix typo fix metric core problem rebas fix,documentation_debt,56
debug log,code/design_debt,57
except tri catch block revert,code/design_debt,58
multipl thread,requirement_debt,59
merg pull request add log around job add log around job,code/design_debt,60
remov class close,code/design_debt,61
remov retri logic doesnt work correct result retri doesnt make given singl call result retri polici,code/design_debt,63
add pattern ignor warn,code/design_debt,64
unus import,code/design_debt,65
notifi sparklisten stage fail cancel comment depend thus includ chang current look second commit see chang previous stage fail get cancel sparklisten notifi pass singl stage fail work job cancel job would fail due singl stage failur howev job cancel multipl run stage fail job get cancel right handl correct result stage get run stage window even dead chang event event use event sparklisten stage fail addit complet success chang backward compat two reason first chang sparklisten interfac could add new event keep exist howev less consist listen event task job end result code duplic listen fail complet stage handl way note finish updat json code correct handl new event wait feedback whether good bad also backward compat chang method longer includ stage caus failur think chang cancel describ failur caus singl stage close squash follow commit fix respons mark review notifi sparklisten stage fail cancel,code/design_debt,66
small improv logic,code/design_debt,69
ad miss licens notic file compon,documentation_debt,70
ad paramet better except messag user travers use fix,code/design_debt,71
test,test_debt,72
add file chang detect add file chang detect fix format make file chang easier add chang check result updat support multipl file chang,code/design_debt,73
simplifi trace collector address config,code/design_debt,74
get rid comment move result express statement use call need anymor,documentation_debt,75
javadoc,documentation_debt,76
ignor ad,code/design_debt,78
workaround,code/design_debt,79
updat thread safe remov,requirement_debt,81
skip url check instead hardcod ambari java code,code/design_debt,82
improv way updat use make,code/design_debt,83
remov also cleanup use clean better long,code/design_debt,85
add support backward compat report fail test also remov class ad class simplifi reflect,code/design_debt,86
disabl flaki test gluon,test_debt,87
fix minor typo,documentation_debt,88
remov longer possibl github,code/design_debt,90
consist appli indent,code/design_debt,91
fix new bulk import remov warn fix new bulk import remov warn fix warn ensur new bulk import request remov deprec intern code old bulk import remov unnecessari new bulk code map inform use new bulk import test specif test old bulk import behavior remov unus variabl test comment refer improv client configur code,code/design_debt,92
import,code/design_debt,93
chang look like typo tri get servic name cach name,documentation_debt,94
remov debug statement test releas note,code/design_debt,95
fix redund line break plan remov redund line section file remov bump,code/design_debt,96
use annot process api test check method deprec attribut,code/design_debt,97
fix destructor behavior set close true wake writer thread destructor way writer thread flush data previous writer thread could end full timeout writer thread could wake notic sinc close set back destructor would call flush would wait writer thread wake full time clear flag flush return destructor would set close could take writer thread anoth full timeout wake process flag also point thread would detect close state loop automat close file zero file close file fix zero point,code/design_debt,98
make default configur respons,code/design_debt,99
delet debug comment,documentation_debt,100
ad paramet control number within row run test possibl configur writer row contain random column updat control via paramet intern make random generat number within see new class detail,code/design_debt,101
method unus code patch jbelli,code/design_debt,102
make test configur easier,code/design_debt,103
clean packag,code/design_debt,104
polish ad miss unit test tri close apach server better handl except consum stop etc,test_debt,105
fix valu type oper patch fix various valu type binari oper saniti test includ also includ function object proper implement subclass comparison index function remov unnecessari redund execut string handl remov unnecessari except handl also includ current data generat algorithm script,code/design_debt,106
implement util support find port sinc merg develop branch chang set enabl old code implement check respons method look also renam describ port that test littl better,code/design_debt,110
convert use,code/design_debt,111
cleanup,code/design_debt,112
fix code style,code/design_debt,113
ad header method build easier express,code/design_debt,114
chang indent,code/design_debt,115
cleanup depend longer need,code/design_debt,117
usabl improv,code/design_debt,118
indent,code/design_debt,119
cleanup remov null check,code/design_debt,120
matrix fix start index function jira,code/design_debt,121
version todo translat python resolv secur,requirement_debt,122
convers finish other still direct use layer,requirement_debt,123
fix typo javadoc,documentation_debt,124
fix typo,documentation_debt,125
fix typo document,documentation_debt,126
space line function remov line code close,code/design_debt,127
stream cleanup,code/design_debt,130
add make write combin type updat,code/design_debt,131
add support enhanc api integr support gluon enhanc api enhanc exampl script add match exclud layer support paramet enabl api use tri method add unit test gluon fix lint fix lint fix temporari fix lint fix tri import add todo,requirement_debt,132
remov dead code,code/design_debt,133
compon work progress,requirement_debt,134
ad test,test_debt,135
rust cast type implement cast arrow type limit complet cast support cast array support cast type support boolean close squash follow commit merg branch master nevill dipal replac cast macro generic function nevill dipal move nevill dipal fix doc comment nevill dipal boolean cast document error handl nevill dipal cast binari nevill dipal use arrow cast datafus nevill dipal cast type,requirement_debt,136
polish,code/design_debt,137
miss test coverag miss test coverag merg,test_debt,138
mark test slow take,test_debt,139
patch add chang compil patch function main place function call call function move relat code new class add new test class match result origin output current code doesnt support multipl loop futur commit add optim function function call loop,requirement_debt,140
support includ null simplifi api usag context handl null differ null confus,code/design_debt,144
move static job set support static job requir job fix across execut addit job job execut cluster commit consolid logic context applic mode one place,code/design_debt,145
separ support creat optim code structur,code/design_debt,146
broken test jenkin time,test_debt,147
simplifi,code/design_debt,148
hotfix doc fix typo close,documentation_debt,149
polish fix test slow server,test_debt,150
merg pull request fix sourc test flaki,test_debt,151
avoid alloc turn alloc alloc pool number increas number node cluster one client patch memori alloc make alloc number core close squash follow commit avoid alloc,code/design_debt,152
ad document close,documentation_debt,153
typo,documentation_debt,154
cleanup use common,code/design_debt,155
fix miss warn,code/design_debt,156
merg pull request chang upgrad script name consist releas chang name script chang name class modifi setuppi script use version renam upgrad script match posit version,code/design_debt,159
updat exampl todo applic,requirement_debt,160
use instead hardcod,code/design_debt,161
fix typo instal output messag fix command use file instead complet path,documentation_debt,162
broker close topic remain motiv problem topic remain topic remain follow broker log time maintain zookeep server think caus shutdown server howev clarifi workaround close topic remain time client instanti new topic topic back normal,code/design_debt,163
remov unus code renam packag name,code/design_debt,164
simplifi use event,code/design_debt,165
temporari fix reset java standard consol close output initi close whole applic,code/design_debt,166
ad error messag fail,code/design_debt,167
reduc memori usag build global,code/design_debt,168
print error messag log,code/design_debt,169
pyspark turn default config pyspark add sever default config pyspark relat serial jvm true help reduc memori usag close squash follow commit davi liu remov duplic line davi liu rebas master add true davi liu merg branch master davi liu fix davi liu default config pyspark,code/design_debt,170
minor fix typo javadoc code comment close,documentation_debt,173
correct integr test structur correct integr test structur correct build file,code/design_debt,174
typo,documentation_debt,175
ambari server perform alert get repeat get cluster api call take second,code/design_debt,177
better error rule,code/design_debt,178
test remov script refer previous remov,code/design_debt,179
unnecessari name,code/design_debt,181
convert parquet tabl longer cach close squash follow commit remov unnecessari chang cach convert parquet relat,code/design_debt,184
fix code style,code/design_debt,186
stream revis allow checkpoint exist sparkcontext revis earlier version see pass activ sparkcontext explicit new set java scala api hard implement python new api introduc even confus sinc introduc direct way get exist activ sparkcontext creat new better use get sparkcontext rather new api explicit pass context remov new version sparkcontext ad exist sparkcontext tri creat sparkcontext close squash follow commit merg remotetrack branch remov extra api use,code/design_debt,187
fix warn,code/design_debt,188
log inform caus error,code/design_debt,189
improv ambari section guid add small better ambari integr fix typo macro review fix bug ambari integr code found exercis step doc,documentation_debt,190
code tidi complet merg old activ attribut type chang activ,code/design_debt,191
fix warn code contribut,code/design_debt,193
put trace info trace enabl fix issu trace info set even trace enabl except still put request data tabl clean trace anoth perform,code/design_debt,194
delet unus,code/design_debt,195
initi support ad base option fix issu relat style header ad run filter enabl configur version filter path default disabl reduc size depend reset close,code/design_debt,196
fix typo,documentation_debt,197
exist integr test chang enabl exist integr test except flaki kill one zookeep second valid phase take longer time valid fail remov zookeep unit test zookeep shutdown fail test delet test ad back separ test class increas zookeep server timeout second second add assert valid topic success unit test valid verifi run follow script patch master branch result close,test_debt,198
skip test,test_debt,199
fix fix style header fix style header refactor remov style import chang contain add set fix fix lint,code/design_debt,200
handl,code/design_debt,201
use remov unus code fix old todo,requirement_debt,202
minor format fix properti section close,code/design_debt,203
cleanup warn close squash follow commit cleanup warn,code/design_debt,207
memori leak restart node enabl fix,code/design_debt,208
merg pull request doc correct spell error,documentation_debt,210
close,code/design_debt,211
add current keep pars syntax error add execut support split command execut code,code/design_debt,214
add proper close ad method chang annot need done temporarili disabl test follow error environ block root caus main error applic fail start descript web server fail start port alreadi use action stop process that listen port configur applic listen anoth port,test_debt,215
make issu retri host found timeout rather host name problem add util method get time jvm cach host failur add test method,code/design_debt,216
use right,code/design_debt,217
merg pull request random http test port,code/design_debt,218
zeppelin502 python interpret group ad python interpret implement py4j exampl java object use instanti python interpret doesnt python binari use python specifi pythonpath thus still use specif instal python modul interpret abl work python without chang python function display type featur todo jira issu test interpret python section specifi pythonpath python binari use use interpret python call help describ interpret instal py4j pip instal py4j use input form licens file need updat py4j break chang version need document close squash follow commit herv rivier zeppelin502 move py4j licens herv rivier doc follow review herv rivier zeppelin502 format code project convent herv rivier doc follow review herv rivier zeppelin502 add py4j licens herv rivier zeppelin502 minor chang pythonmd herv rivier zeppelin502 chang pythonpath herv rivier zeppelin502 improv pythonmd herv rivier zeppelin502 improv pythonmd featur yet support descript herv rivier zeppelin502 add test code help test write herv rivier zeppelin502 renam pythonpath python default python herv rivier zeppelin502 input form chang simpl input form pyspark syntax herv rivier zeppelin502 indent convent herv rivier zeppelin502 add pythonmd herv rivier zeppelin502 catch except herv rivier zeppelin502 python interpret group,code/design_debt,219
fix fix length mode throw except field allow length ad option field workaround issu,code/design_debt,220
remov longer need chang propos pull request remov complet chang need chang remov longer use code introduc userfac chang patch test exist test close,code/design_debt,222
polish java doc,documentation_debt,223
add log inform collect request,code/design_debt,224
code style,code/design_debt,228
fix indent see,code/design_debt,229
implement express sure also may may better implement way chang need test sql close squash follow commit andi grove fix typo andi grove remov andi grove rebas implement express,documentation_debt,230
improv error messag result use simpl end remov entir test featur test case ignor long time remov comment client unit test,documentation_debt,231
remov paramet,code/design_debt,232
refactor pass refer improv readabl convert,code/design_debt,233
clean,code/design_debt,234
work progress,requirement_debt,235
speed shutdown upgrad contribut,code/design_debt,237
fix leak,code/design_debt,238
network relat except log,code/design_debt,239
renam elimin write,code/design_debt,241
fix issu chang propos pull request introduc current implement caus case caus also flaki implement order avoid also return patch test run time flaki close,test_debt,242
fix flaki test see jira issu descript caus flaki fix issu wait long time action reli server shutdown finish,test_debt,243
server run memori time due class leak,code/design_debt,245
connect leak aggreg log web contribut siddharth,code/design_debt,246
ignor new test that complet yet,test_debt,247
potenti leak close,code/design_debt,251
minor clean add comment client,code/design_debt,252
hotfix fix except messag,code/design_debt,253
jar alway add could also insid multipl time close,code/design_debt,254
littl bit code cleanup,code/design_debt,255
polish contribut guid,documentation_debt,256
fix typo error,documentation_debt,257
,test_debt,258
consolid docker remov logic contribut xin,code/design_debt,259
fix flaki shutdown test problem instanc variabl set one thread read anoth,test_debt,260
fix warn patch,code/design_debt,261
fix,code/design_debt,263
remov duplic annot modul,code/design_debt,264
fix typo,documentation_debt,265
http default remov valu fix featur fix function replac config element,code/design_debt,266
fix typo model timestamp fix typo model timestamp field new test field alreadi repres close,documentation_debt,267
fix format,documentation_debt,268
ad littl get start document fix develop link,documentation_debt,269
fix clang warn,code/design_debt,270
fix zookeep connect string log via,code/design_debt,271
stop infinit,code/design_debt,273
get rid warn dont break support,code/design_debt,274
simplifi loop dont need,code/design_debt,275
cleanup consol output,code/design_debt,277
add add subtract express jira add add subtract express patch conflict merg resolv reynold xin close squash follow commit liangchi hsieh merg remotetrack branch liangchi hsieh comment liangchi hsieh merg remotetrack branch liangchi hsieh comment liangchi hsieh merg remotetrack branch liangchi hsieh remov liangchi hsieh fix scala style liangchi hsieh add add subtract express,code/design_debt,278
fix stop file longer use,code/design_debt,279
consolid string,code/design_debt,282
fix close,code/design_debt,283
improv via,code/design_debt,285
remov unnecessari check contribut,code/design_debt,286
make enforc file size match configur make enforc file size match configur maintain pleas review check step jira issu refer exampl descript applic better dataset valid configur data file configur differ dataset phase test need test extrem good reason commit subject line squash multipl commit address issu addit commit follow write good commit commit subject separ bodi line subject limit charact subject end subject use add ad bodi wrap charact bodi make enforc file size match configur differ fix spell close,documentation_debt,287
code tidi,code/design_debt,288
remov unnecessari activ,code/design_debt,289
error messag fix map,code/design_debt,290
simplifi doc appli,code/design_debt,291
fix typo,documentation_debt,293
samza1122 renam executionenviron applicationrunn renam executionenviron applicationrunn includ subclass renam packag renam close squash follow commit liu merg branch samza1122 samza1122 liu samza1122 renam executionenviron applicationrunn liu samza1122 renam executionenviron applicationrunn,code/design_debt,295
remov test valid,test_debt,296
updat consol doc updat consol doc sql queri ad link fix typo,documentation_debt,298
add debug log messag miss patch jbelli,code/design_debt,299
fix typo,documentation_debt,300
convent minor javadoc updat format code chang,code/design_debt,301
remov except ignor pool cannot connect server,code/design_debt,302
remov space,code/design_debt,303
fix secur issu,requirement_debt,305
format make consist,documentation_debt,306
correct typo status status,documentation_debt,307
fix typo,documentation_debt,308
appli hsieh patch fix typo,documentation_debt,309
minor updat make method creat applic,code/design_debt,310
fix make transform reason add remov,code/design_debt,311
ad method detail return type includ import type fix,code/design_debt,312
javadoc readabl,documentation_debt,313
java modul name,code/design_debt,315
rearrang support build local,code/design_debt,316
support collector servic instrument collector instrument agent make output agent collector packag tri add metric annot chang instrument way finish agent code wait metric requir debug new instrument fix detect bug finish instrument fix compil issu,code/design_debt,317
sql add rule automat insert unsaf safe row format convert two differ intern row format unsaferow old row format end perform convers two format convers perform oper instead respons insert format convers need patch make follow chang add two new oper perform row format convers add new method allow oper express whether output unsaferow whether handl safe unsaf row input implement rule automat insert convert oper close squash follow commit josh rosen resolv conflict unsaferow josh rosen add convert test josh rosen add unsaf support test bump test coverag josh rosen add even assert execut josh rosen renam josh rosen add assert oper input row differ format josh rosen add test filter josh rosen add miss test file josh rosen fix josh rosen renam file josh rosen finish write rule josh rosen merg remotetrack branch josh rosen,code/design_debt,319
merg pull request initi implement activ api,code/design_debt,320
add link issu workaround,code/design_debt,321
minor fix file leak log integr test close,code/design_debt,322
bug synchron write evalu log except write fail instead jira pull request close,code/design_debt,323
local file system base code initi implement,code/design_debt,324
reset test block avoid leakag test,code/design_debt,325
cannot use api ad miss detail api respons,code/design_debt,326
delet deprec code,code/design_debt,327
code support,code/design_debt,329
remov new valid modul temporarili use build iter queri,code/design_debt,330
hotfix throw origin except thread pool except thread pool throw origin except instead throw new one make hard debug close,code/design_debt,331
renam rdl remov renam renam rdl renam rdl modul name renam rdl packag name renam rdl class name,code/design_debt,332
workaround schedul stat,code/design_debt,333
made work move multipl interfac stuff exampl,code/design_debt,334
merg pull request simpl first fix use recov messag messag store,code/design_debt,335
minor tidi,code/design_debt,336
improv extens close,requirement_debt,337
polish,code/design_debt,339
test tri improv test squash follow commit possibl fix close,test_debt,341
enhanc fix checkstyl avoid duplic logic filter group instanti properti key get properti valu via ensur map properti would return avoid string repres null instead reli java null use get string valu properti valu use group,code/design_debt,342
improv perform apach common,code/design_debt,344
cluster confus root commit better log,code/design_debt,346
refactor hardcod json output use api,code/design_debt,347
code style,code/design_debt,348
code cleanup,code/design_debt,349
test comment locat slow leak around locat one use,code/design_debt,350
compon doc fix typo,documentation_debt,351
fix typo fix github close,documentation_debt,352
remov file within root sourc tree use anymor origin phase tool apach use close,code/design_debt,353
remov hardcod command main add main class print usag command group,code/design_debt,354
new server side trim function new aggreg group new use new implement server side trim function trim new trim function take map key result list input prevent build sever new map aggreg function improv perform new reduc collect,code/design_debt,355
document better,documentation_debt,357
project fix remov file,code/design_debt,358
fix warn log set messag alreadi consum use addit singl test case,code/design_debt,359
document fix typo instanti,documentation_debt,360
polish,code/design_debt,361
handl except proper,code/design_debt,362
ad schema valid config detail config schema type object name schema simpl class string number boolean class schema valu class instanc interfac use method valid field method return descript user status compil test make use schema yet,test_debt,363
typo,documentation_debt,364
remov duplic annot modul motiv class modul follow annot annot includ annot remov data annot also,code/design_debt,366
fix typo javadoc,documentation_debt,367
javadoc correct,documentation_debt,368
fix aggreg empti data chang propos pull request spark sql support global aggreg group aggreg global aggreg alway return singl row initi aggreg state output even zero input row spark implement check number group key aggreg global aggreg zero group key howev simpl follow case reason translat someth translat implement rule contain zero column zero row rule make confus transform follow one transform confus result aggreg oper contain group key contain column get global aggreg result spark sql alloc singl row initi aggreg state use output return wrong result fix issu append group key list result aggreg oper input plan contain zero output column way translat group aggreg proper group aggreg return correct patch test new unit test ad close,code/design_debt,369
format,code/design_debt,370
leak depend tool jar,code/design_debt,371
fix typo,documentation_debt,372
bug volum download volum fail root data volum return volum name instead full path server bad name convent,code/design_debt,374
remov remov fix servic method throw error remov consol statement add miss messag request remov,code/design_debt,375
fix remov logic remov insid broker clean map proper ad test verifi also ad new debug log help futur issu,code/design_debt,377
fix typo javadoc,documentation_debt,378
fix typo topic chang propos pull request fix typo close,documentation_debt,380
avoid log info cannot,code/design_debt,381
improv pars int perform,code/design_debt,382
fix,code/design_debt,383
fix clang warn,code/design_debt,384
style fix spell wait wait etc fix spell fix spell optim code convent add cannot process instanc return null add add add add add add add add add add,code/design_debt,385
add function add javadoc,documentation_debt,386
leak structur type,code/design_debt,388
consolid set style,code/design_debt,389
remov exclud test,code/design_debt,390
renam csv json chang propos pull request current option name csv user current repres per file actual one file could multipl thus renam propos patch test close,code/design_debt,391
remov unnecessari log make proper log ignor,code/design_debt,392
simplifi contribut,code/design_debt,393
version move,code/design_debt,394
fix npe bug one polish code,code/design_debt,396
use config instead hardcod valu,code/design_debt,397
address minor issu updat comment compon updat style consist ad version process group version process group,code/design_debt,399
clean,code/design_debt,401
