text,label,document_index
dataflow counter metric updat comment refer counter code refer metric updat comment instead mention translat accumul metric updat class renam accord also name method confus two argument pass metricupdateproto read signatur suggest accumul somehow boolean set metricupdateproto intend instead renam method translat metricupdateproto would make clear translat accumul metricupdateproto renam file well,code/design_debt,0
nit use local variabl possibl,code/design_debt,2
support yet type use think support version,requirement_debt,4
regard question provid common stream use case process metric use observ propos get metric api multithread stream context metric pleas mean get provid use metric threadsaf scenario action observ dataset call differ thread metric retriev say multithread driver process general use case batch process even propos observ api multithread complex user use singlethread scenario user experi multithread problem use exist approach user extens agre,requirement_debt,5
agre may bundl also use bundl reason bundl intent thought depend downstream activ actual prefer ship packag sinc might well way work well user case agre improv get basic,code/design_debt,6
made chang improv log,code/design_debt,7
btw need new test case correct set activ session,test_debt,8
think way person think use singl endpoint easier user main purpos endpoint provid way run task endpoint simpl possibl use singl endpoint use separ endpoint allow ask user first regist data use servic second servic allow much larg size data sens send data request everi time think could provid way phase featur phase probabl could support anoth two endpoint support suggest regard cleanup think current phase request mention user separ endpoint retriev could clean phase anoth two endpoint provid endpoint need cleanup thank suggest,code/design_debt,9
improv error messag function,code/design_debt,11
think document test extract exampl code chang actual show chang affect path need remov anoth topic general bad document might might chang break one well break chang term real exampl bad affect idea anoth exampl public assert assert assert null assert last assert fail,test_debt,12
let drop comment two reason first part comment describ thing code ad addit context second part dataflow runner specif exampl even run dataflow runner yet,documentation_debt,14
ad remov file fix,code/design_debt,17
littl confus need config isnt metadata written state store would user ever need set rest code care sinc realli look like amount code add one singl field state object,code/design_debt,19
yes let worri later,code/design_debt,20
also add test cleanup,code/design_debt,21
final made code look good part minor comment also code custom know would use would hook support anyway,code/design_debt,23
thank contribut could add unit test,test_debt,24
specif way yarn run thing dont think would use els point becom use code move think test ad better unit test function sinc way code actual run yarn,code/design_debt,25
doc updat,code/design_debt,26
new top exist seem like big one version take argument one take argument other need compat rest seem,code/design_debt,27
take step back whether updat current api right thing mayb introduc differ style design caller respons set provid oper noth special use reduc method someth like quick builder object,code/design_debt,28
consist,code/design_debt,29
call,documentation_debt,31
youll also need chang otherwis histori server wont see new inform also ad new properti serial class general use see call class,code/design_debt,33
chang valu without better,code/design_debt,34
nit comment code though wont strong object,code/design_debt,35
probabl realli dont want convert respons string caus client entir respons memori convert java string complet negat buffer seem implement,code/design_debt,36
nit indent two space,code/design_debt,38
nit clone,code/design_debt,39
