text,label,document_index,subset
relationship dataflow counter metric updat comment refer counter code refer metric updat proto comment instead mention translat accumul metric updat class renam accord also name method confus two argument pass setbooleanaccumul metricupdateproto read signatur suggest accumul somehow boolean set metricupdateproto opposit intend instead renam method translat translatebooleanaccumul metricupdateproto would make clear translat accumul metricupdateproto renam setscalar setmean file well,code/design_debt,0,train
nit use local variabl possibl,code/design_debt,2,train
support yet type timestampwithlocaltimezon rare use think support version,requirement_debt,4,train
regard question provid common stream use case noneventbas process metric use observ propos get metric api hide listen multithread stream context finit metric elabor pleas mean async get provid pseudocod use metric async threadsaf scenario action observ dataset call differ thread metric retriev say multithread driver process general use case batch process even propos observ api aim hide multithread complex user use datasetobserv singlethread scenario user experi multithread problem use exist listen approach target user extens agre,requirement_debt,5,train
agre may gotten impress bundl also use hadoop bundl lib reason bundl favor intent thought depend converg downstream activ actual prefer ship binari tarbal packag sinc might well way work well user case agre improv get basic smilecat,code/design_debt,6,train
made chang improv log,code/design_debt,7,train
btw need new test case correct set activ session,test_debt,8,train
think way pros con person think use singl endpoint easier user main purpos onlin endpoint provid conveni way run task endpoint simpl possibl use singl endpoint userfriend use separ crud endpoint allow flexibl ask user first regist data use servic second onlin servic allow much larg size data sens send data request everi time bottleneck think could provid way phase featur phase probabl could support anoth two endpoint support suggest regard cleanup think current phase onecal request mention stateless user separ endpoint retriev anomali afterward henc could clean phase anoth two endpoint provid endpoint need cleanup thank suggest,code/design_debt,9,train
arrow7473 cgandiva improv error messag locat function,code/design_debt,11,train
think document test extract exampl code chang actual show chang affect opinion getset path need remov anoth topic troubl getset mop general bad document might might chang break one well break chang term semant real world exampl bad affect idea anoth exampl public foo assert afoo assert afoo assert afoo null assert last three assert fail,test_debt,12,train
let drop comment two reason first part comment describ thing code english ad addit context second part dataflow runner specif exampl even run dataflow runner yet,documentation_debt,14,train
ad ratexclud readm rat remov unneed file lack copyrightsalso hivetest009 fix,code/design_debt,17,train
littl confus need config isnt metadata written state store would user ever need set rest code care sinc realli familiar look like insan amount code add one singl field state object,code/design_debt,19,train
yes let worri later,code/design_debt,20,train
also add test cleanup,code/design_debt,21,train
final made code look good part minor comment also wile maintainsupport code umber custom know would interest use would hook support anyway,code/design_debt,23,train
thank contribut amakaur could add unit test,test_debt,24,train
specif way yarn run thing dont think would use anywher els point becom use code move think test ad better unit test function sinc way code actual run yarn bash,code/design_debt,25,train
doc updat superset site,code/design_debt,26,train
new overload createstream top exist seem like big overkil one version javascala take argument one take minim argument other need retain binari compat rest seem superflu,code/design_debt,27,train
take step back reconsid whether updat current api httpop right thing mayb ought introduc differ style fluid reconsid design caller respons set httpclient httpop provid oper noth special auth op use redefin httpclient reduc method bloat someth like quick sketch implicit builder object geturl posturl puturl deleteurl,code/design_debt,28,train
nonneg int keygroupid consist,code/design_debt,29,train
call resfun twice,documentation_debt,31,train
hmm youll also need chang taskendreasonfromjson otherwis histori server wont see new inform also ad new properti serial class general use optionfoo see call utilsjsonopt class,code/design_debt,33,train
chang valu without better knowledg,code/design_debt,34,train
nit comment code bother storybook though wont strong object,code/design_debt,35,train
probabl realli dont want convert respons string caus client download entir respons memori convert java string complet negat diskbas buffer seem implement,code/design_debt,36,train
nit indent two space,code/design_debt,38,train
nit clone,code/design_debt,39,train
fix mima need add line mimaproject definit temporarili exclud new project httpsgithubcomdbtsaisparkblobb9870d6c62d75cd59698bd72751bc4f7854cd2e3projectsparkbuildscalal254 also add todo followup task post20releas remov exclud publish previous artifact mima compar,requirement_debt,41,train
updat alphanumer sort doc test exampl,test_debt,42,train
pretti sure long durat isnt realli necessari dont think hurt make longer case,code/design_debt,43,train
second paramet better complet sentenc,code/design_debt,44,train
impala refer find httpswwwclouderacomdocumentationenterprise510xtopicsimpalashowhtml consist show function make like option,code/design_debt,45,train
mridulm yes awar sparkcontext use reflect instanti two differ class yarn packag connect manual remov one see there still reflect code load yarnclusterschedul seem unnecessari,code/design_debt,46,train
rare case might want chang execut bit master make unnecessari howev much surgeri critic part bugfix releas decid conserv runtim code rather pay price test,code/design_debt,47,train
well definit sketchi call aggreg get concurr hyperloglogcollector isnt thread safe possibl youll get bizarr valu time time like offset hllc process increment one thread read anoth thread think valu,requirement_debt,48,train
think alreadi defin 6317,code/design_debt,49,train
yea right use lot test code somewhat annoy updat,code/design_debt,50,train
tri dont see better way organ code need slight differ logic primit type,code/design_debt,51,train
look littl strang retrospect document say to reduc amount time admin spend author manag polici inherit parent resourc child resourc think practic case cannot access process group access resourc within happen,documentation_debt,52,train
checkstyl fix typo,documentation_debt,53,train
havent actual ad test that least doesnt match intent describ close back describ test want jira,test_debt,54,train
instead string formatt use string builder dont count number format argument often take coupl iter get right string builder good especi cli option thought,code/design_debt,56,train
think take consid drop logic sinc add complex might huge perform issu practic let know disagre,code/design_debt,57,train
necessari see discuss httpsissuesapacheorgjirabrowsespark11337 includ import singl block move unus import separ group need keep import order group use empti line separ import group,code/design_debt,58,train
scalar linear algebra relat vector refer sqlalachemi panda variabl name isarray straightforward chang variabl name,code/design_debt,59,train
updat improv readabl httpsgithubcomapachehivepull1780commits37e707705c6cc7c025bbe7fb1b67682062dc84c7 time address hive24646,code/design_debt,60,train
name keep simpl might touch time sinc occur place doesnt save much,code/design_debt,61,train
note biggest concern messag ref need light human possibl they re memori affect great scale would person prefer refactor need take hit especi need someon want use plugin mean everyon els suffer,code/design_debt,63,train
lgtm merg trunk 0101 thank edoardocomar mimaison hard work patienc patch minor cleanupsimprov client test submit followup,code/design_debt,64,train
space simpler foral,code/design_debt,65,train
venureddy2103 check place place still keep previous place use one event fireev place preevent postev differ code block place larg code block preevent postev,code/design_debt,66,train
implement class use class instead type explicit,code/design_debt,69,train
see ad test still havent address question synchron class need,code/design_debt,70,train
even though bind base threadlocalt instanc think implement threadsaf exampl multipl task execut serial thread modifi bind dictionari besid threadsaf doesnt support defin bind thread ad step anoth sampl,requirement_debt,71,train
rewrit tupl construct consum work flow improv read write perform pluggabl storag framework specif use virtual tupl tupl tabl slot instead heap tupl storag executor avoid tupl data copi queri process huor jiny2,code/design_debt,72,train
thank replac propos also left mention metadata segment file row group partit sinc wasnt describ doc yet,documentation_debt,73,train
could add deprec give proper warn,code/design_debt,74,train
use rulesreltrait jdbcconvent relbuilderfactori relbuilderfactori null valu ad statement overload method allow slight avoid duplic code,code/design_debt,75,train
mess mar 2018 512 carlo santana notificationsgithubcom wrote,code/design_debt,76,train
fault open jira issu start thought quick chang wordcount part like move top level class document spark runner need copi dhalperi readfrom doesnt work hdfs tfidf part think close run spark runner beamexampl modul 533 spark depend problem test javasparkcontext class found httpsbuildsapacheorgjobbeamprecommitmavenverify1908consol could help take look make call whether want includ tfidf left handl 533,documentation_debt,78,train
minor orgapachenifiminifi need place orgapachenifiminifiutilsstringutilstobool could shorten utilsstringutilstobool,code/design_debt,79,train
okay think issu pretti tough unfortun hive direct use shade objenesi class howev spark need kryo 221 depend origin objenesi class hive code use httpsgithubcomapachehiveblobbranch013qlsrcjavaorgapachehadoophiveqlexecutilitiesjaval186 cant remov kryo hive use pretti ugli one solut might updat chill spark spark use kryo version hive,code/design_debt,81,train
wonder would make sens insert layer abstractfeatur actual featur like subclass would look someth like lot duplic code subclass goe away thought,code/design_debt,82,train
sinc new interfac method add javadoc pleas,documentation_debt,83,train
think better use orgwso2carbonutilscarbonutilsgetcarbonhom,code/design_debt,85,train
tend agre terminolog use littl confus doesnt seem match general terminolog use term loos howev deal lsh tend come across version sethah mention karlhigley packag other httpsgithubcommarufaytekinlshspark implement input vector hash tabl hash signatur length dimens hash signatur creat concaten result appli hash function agre what effect implement outputdim find bit troubl done implicit part hashdist function without know happen clear new user come common lsh implement outputdim number hash function length hash signatur actual number hash tabl term transform disagre somewhat main use case dimension reduct perhap common exampl use hash signatur lowerdim represent featur model similar way say pca transform havent seen view real use case approxim nearest neighbour search ill give concret exampl transform output let say want export recommend model factor vector al word2vec vector etc realtim score system mani item like use lsh make score feasibl effect realtim version oramplif store hash tabl tabl hash signatur vector similar item given item retriev hash sig queri item use filter candid item set score fact someth work demo project current support orand combo import output full set hash sig transform recommend futur proof api return arrayvector transform mention other need updat doc user guid make realli clear implement think need make clear impli valu mention amplif implement later perhap even link jira renam outputdim someth like numhasht add andamp add paramet hashsignaturelength numhashfunct make much privat possibl avoid stuck implement detail futur releas also dont see randunitvector randcoeffici need public one issu current would output set hash valu actual set signatur length guess leav document output actual believ support orand futur mani thing need chang hashfunct hashdist etc need refactor implement privateprotect think let ensur left api cant chang futur set must yield result current impl avoid behavior chang guess sinc current default make default ad also final understand result perform test would post dont believ weve seen yet,code/design_debt,86,train
perhap renam variabl someth like defaultstoretyp would clarifi reason declar oppos use enum valu necessari,code/design_debt,87,train
yes ill updat there actual problem unit test ive written travi fail sporad,test_debt,88,train
function favor ssd need comment,documentation_debt,90,train
think sparksessionclos behavior purpos that coher behavior dont shut anyth your done everyth shut what consist maintain state session cant clear think way forward probabl new lifecycl method like clear user burden least provid mean cleanup without chang close figur automat dispos resourc hold chang behavior session close shut context behavior chang yes perhap less surpris anyth peopl like cloudfan gatorsmil hyukjinkwon dongjoonhyun thought feel like refer count go end tear eventu crazi,code/design_debt,91,train
shangxin agre extend schema metadata good idea said serializationdeseri also requir need chang format first schema object parquetmr exist parquetmr runtim serial need convert object structur thrift object structur defin format dont new metatdata field format cannot serializedeseri much bigger topic also like see featur separ encrypt would general approach store metadata schema meanwhil convinc need extens namespac prefix etc dont agre user friend that ive suggest implement helper api user doesnt need deal conf key valu direct ggershinski dont agre cannot meet topic term transpar document discuss conclus meanwhil sure meet would help happi particip anyon think otherwis also think get stuck issu would suggest involv member communiti mayb draw attent dev list bring topic next parquet sync,code/design_debt,92,train
design doc write could fail target replic nonadmin credenti typic replic skip bump docwritefailur counter howev reli post request return 200 respons authent scheme implement whole request fail doc dont enough permiss written replic job end crash ugli except get stuck retri forev order accomod scanario write design doc separ request like write attach fix 2415,code/design_debt,93,train
pointm may worth wrap getxorthrow call actual return legibl error messag sinc generat code print input id,code/design_debt,94,train
nit leftanti,code/design_debt,95,train
would accept reformat code demand appear finish improv peopl might never need look hunspel code,code/design_debt,96,train
add comment commit otherwis peopl would confus,documentation_debt,97,train
super clear youd want use config element read bit code understand add proper exampl type annot,documentation_debt,98,train
fix typo,documentation_debt,99,train
nit line long enough time split,code/design_debt,100,train
think method realli necessari alreadi logic access composit type see visitfieldaccess mayb make method bit generic,code/design_debt,101,train
minor nitmark return type nullabl,code/design_debt,102,train
look good thank fix typo,documentation_debt,103,train
warn seem bit frequent instead checkgesortedorders threadssiz,code/design_debt,104,train
