text,label,document_index
fix closes,code_debt,0
policy bit,code_debt,2
improve error logging write failures error writing document log error error also added tests cases functions,code_debt,4
remove old,documentation_debt,5
set javadoc get rid messages reduce log,code_debt,6
remove legacy methods,code_debt,7
removed test,code_debt,8
fix typo,documentation_debt,9
fix typo error message,documentation_debt,11
dont download already,code_debt,12
added missing license,documentation_debt,14
improved performance get config change performance config also removed method get config getting config used,code_debt,17
efficient header commits,code_debt,19
http client code resolve issue tests long resolve issue http client code large changes made memory usage allow large closes,code_debt,20
argument parsing added support client introduced argument parsing try backwards earlier version introduced optional argument parsing update however support avoid breaking patch feature adding new supported thread closes,code_debt,21
bug usage support added work progress,requirement_debt,23
string function concat closes squashes following commits reynold xin removed concat test reynold xin concat reynold xin removed extra import reynold xin fixed npe reynold xin added missing file reynold xin string function concat,code_debt,24
hotfix resolve compiler warnings,code_debt,25
add missing tests,test_debt,26
adds better view params profiles adds better view params profiles adds documentation comparison view parameter removes use methods methods doc changes minor style changes params key profiles need check first adds changelog adds test profiles changes,code_debt,27
merge branch commits revert update remove conflicts,code_debt,28
better debug messages changes,code_debt,29
eliminate warnings configure time doesnt support option dont dont move safe error,code_debt,31
return response good error user use api cluster,code_debt,33
remove duplicated configuration patch,code_debt,34
make output less,code_debt,35
adding fix,code_debt,36
minor remove tests added new versions tests,test_debt,38
removed old,code_debt,39
fix test syntax cleanup,code_debt,41
convert active without closing several tasks task handle closing old task creating new one exception close close tasks task task close state context state manager new type close task normal clean close instead closing state manager store information current store offsets changelog new task initialization skip still read checkpoint file use offsets store offsets already ensure dont end disabled call state active,code_debt,42
makes closes update guide component,code_debt,43
add metric add metric fixes right time test split remove offsets since always null review,test_debt,44
tests classes,code_debt,45
remove exception aqe changes proposed pull request removes exception aqe error messages less consistent execution exceptions stage multiple stage failures also stage errors included part exception rather error changes needed make aqe error readable introduce userfacing change patch tested updated existing tests closes,code_debt,46
temporary test code,test_debt,47
value parameter add log exception messages fix,code_debt,48
optimize algorithm function called found file types function case current algorithm could entire matches list times location match remove matches start location length addition use various scala functions cause new causing performance algorithm matches list first match code replace code replace append random access matches sequence also adds return case one match case,code_debt,49
remove property matrix classes,code_debt,50
resolve comment workaround,code_debt,51
update docs update docs doc updates cleanup,documentation_debt,52
cleanup versions,code_debt,53
append reviewed,code_debt,54
remove dependency remove dependency contributed checkstyle fixes revert import add javadoc back fix typo fix core problem fix,documentation_debt,56
debug logging,code_debt,57
exceptions try catch revert,code_debt,58
multiple thread,requirement_debt,59
merge pull request adds logging around jobs adds logging around jobs,code_debt,60
removed classes closes,code_debt,61
removed logic doesnt work correctly results doesnt make given single call results policy,code_debt,63
add ignore warnings,code_debt,64
unused import,code_debt,65
stages fail cancelled comment thus includes changes currently look commit see changes previously stages fail get cancelled pass single stage failed job cancellation jobs would fail due single stage failure however job cancellation multiple running stages fail job cancelled right correctly results stages get running stages window even dead changes event event uses event stages fail addition complete change two first changes interface could add new event keep existing however less consistent tasks jobs result code failed stages note finished updating json code correctly handle new event waiting feedback whether good bad also backwards changes method longer include stage caused failure think change cancellation failure caused single stage closes squashes following commits fixes response review stages fail cancelled,code_debt,66
small improvement logic,code_debt,69
added missing license file component,documentation_debt,70
added parameters better exception message users use fixed,code_debt,71
test,test_debt,72
add file change add file change fix format make file changed easier add change check result update support multiple files change,code_debt,73
simplified collector address config,code_debt,74
get rid comment result expression using call need anymore,documentation_debt,75
,documentation_debt,76
ignore adding,code_debt,78
workaround,code_debt,79
updated thread safe removed,requirement_debt,81
skip url check instead ambari java code,code_debt,82
improve way update used make,code_debt,83
remove also cleanup use clean better long,code_debt,85
add support backwards failed tests also removed class added class simplified,code_debt,86
disable flaky test gluon,test_debt,87
fix minor typos,documentation_debt,88
removed longer possible github,code_debt,90
indentation,code_debt,91
fix new bulk import remove warnings fix new bulk import remove warnings fix warnings ensure new bulk import remove internal code old bulk import remove unnecessary new bulk code information use new bulk import tests testing old bulk import behavior remove unused tests improvements client configuration code,code_debt,92
imports,code_debt,93
change like typo trying get service name cache name,documentation_debt,94
remove debug test release,code_debt,95
fix redundant line plan removes redundant line section file removed bump,code_debt,96
using annotation api test check methods deprecated attributes,code_debt,97
fix destructor behavior set closing true wake writer thread destructor way writer thread data previously writer thread could end full timeout writer thread could wake since closing set back destructor would call would writer thread wake full time clear flag returns destructor would set closing could take writer thread another full timeout wake process flag also would closing state loops automatically close file zero file close file fix,code_debt,98
make default configuration,code_debt,99
delete debugging comment,documentation_debt,100
added parameter number within row running test possible configure writer rows random updates via parameters internal make within see new class,code_debt,101
method unused code patch jbellis,code_debt,102
make test configuration easier,code_debt,103
package,code_debt,104
polished added missing unit test trying close apache server better handling exception consumer etc,test_debt,105
fix value type operations patch fixes various value type binary operations sanity tests included also includes function proper implementation comparison index functions remove unnecessary execute string handling remove unnecessary exception handling also include current data algorithm scripts,code_debt,106
implementation utility support port since branch change set old code check response method look also renamed port thats tested little better,code_debt,110
convert use,code_debt,111
cleanup,code_debt,112
fixed code style,code_debt,113
added header method build easier expressions,code_debt,114
change indentation,code_debt,115
cleanup longer needed,code_debt,117
usability improvement,code_debt,118
indentation,code_debt,119
cleanup remove null check,code_debt,120
matrix fix index functions jira,code_debt,121
version todo python resolve security,requirement_debt,122
finished others still directly used,requirement_debt,123
fix typo javadoc,documentation_debt,124
fix typo,documentation_debt,125
fixing typo documentation,documentation_debt,126
lines function removes lines code closes,code_debt,127
streaming cleanup,code_debt,130
add make write type update,code_debt,131
add support enhance api support gluon enhance api enhance example script add match support parameter enable api use try method add unit test gluon fix lint fix lint fix temporary fix lint fix try import add todo,requirement_debt,132
remove dead code,code_debt,133
component work progress,requirement_debt,134
adding tests,test_debt,135
rust cast types implementation cast arrow types complete casting supported casting supported casting types supported boolean closes squashes following commits merge branch master neville dipale replace cast macros functions neville dipale move neville dipale fix doc comment neville dipale boolean documentation error handling neville dipale cast binary neville dipale use arrow cast datafusion neville dipale cast types,requirement_debt,136
polished,code_debt,137
missing test coverage missing test coverage merge,test_debt,138
mark test slow take,test_debt,139
patch adds changes compile functions main function call calls function move related code new class add new test class match results original current code doesnt support multiple loops future commits add functions function calls loops,requirement_debt,140
support including null api usage handle null null confusing,code_debt,144
move static job setting support static job job fixed across addition jobs job cluster commit logic context application mode one place,code_debt,145
separate support create optimize code structure,code_debt,146
broken test jenkins time,test_debt,147
simplify,code_debt,148
hotfix docs fix typo closes,documentation_debt,149
polished fixed test slow server,test_debt,150
merge pull request fix source test flakiness,test_debt,151
avoid pool number number cluster one clients patch memory allocation make allocation number closes squashes following commits avoid,code_debt,152
added documentation closes,documentation_debt,153
typo,documentation_debt,154
cleanup use common,code_debt,155
fixed missed warning,code_debt,156
merge pull request changes upgrade script names consistent release changes names scripts changes name class setuppy script use version upgrade scripts match version,code_debt,159
update example todo application,requirement_debt,160
use instead hardcoded,code_debt,161
fix typo install output message fix command use file instead complete path,documentation_debt,162
broker close topics motivation problem topic topic following broker log time zookeeper servers think caused shutdown servers however clarified workaround close topic time clients new topic topic back normal,code_debt,163
remove unused code rename package name,code_debt,164
simplify using,code_debt,165
temporary fix reset java standard console closes output whole application,code_debt,166
added error messages fail,code_debt,167
reduce memory usage building global,code_debt,168
print error message log,code_debt,169
pyspark default pyspark add several default pyspark related jvm true help reduce memory usage closes squashes following commits davies liu remove duplicated line davies liu master add true davies liu merge branch master davies liu fix davies liu default pyspark,code_debt,170
minor fix typos javadoc code comments closes,documentation_debt,173
integration tests structure integration tests structure build file,code_debt,174
typo,documentation_debt,175
